Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2017,Marshall University,Sun Belt Conference,Overall,WV,90,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/388.pdf?v=1748710721067
2017,"University of Maryland, Baltimore County",America East Conference,Overall,MD,86,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/391.pdf?v=1748710721067
2017,"University of Maryland, College Park",Big Ten Conference,Overall,MD,88,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/392.pdf?v=1748710721067
2017,University of Maryland Eastern Shore,Mid-Eastern Athletic Conf.,Overall,MD,80,55,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/393.pdf?v=1748710721067
2017,"University of Massachusetts, Amherst",Atlantic 10 Conference,Overall,MA,90,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/400.pdf?v=1748710721067
2017,McNeese State University,Southland Conference,Overall,LA,83,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/402.pdf?v=1748710721067
2017,University of Memphis,American Athletic Conference,Overall,TN,92,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/404.pdf?v=1748710721067
2017,Mercer University,Southern Conference,Overall,GA,94,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/406.pdf?v=1748710721067
2017,Merrimack College,Northeast Conference,Overall,MA,89,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/410.pdf?v=1748710721067
2017,Miami University (Ohio),Mid-American Conference,Overall,OH,96,78,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/414.pdf?v=1748710721067
2017,University of Miami (Florida),Atlantic Coast Conference,Overall,FL,93,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/415.pdf?v=1748710721067
2017,Michigan State University,Big Ten Conference,Overall,MI,91,80,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/416.pdf?v=1748710721067
2017,University of Michigan,Big Ten Conference,Overall,MI,96,83,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/418.pdf?v=1748710721067
2017,Middle Tennessee State University,Conference USA,Overall,TN,94,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/419.pdf?v=1748710721067
2017,"University of Minnesota, Twin Cities",Big Ten Conference,Overall,MN,95,77,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/428.pdf?v=1748710721067
2017,Mississippi State University,Southeastern Conference,Overall,MS,93,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/430.pdf?v=1748710721067
2017,Mississippi Valley State University,Southwestern Athletic Conf.,Overall,MS,73,39,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/432.pdf?v=1748710721067
2017,University of Mississippi,Southeastern Conference,Overall,MS,94,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/433.pdf?v=1748710721067
2017,"University of Missouri, Columbia",Southeastern Conference,Overall,MO,88,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/434.pdf?v=1748710721067
2017,Monmouth University,Coastal Athletic Association,Overall,NJ,90,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/439.pdf?v=1748710721067
2017,Montana State University-Bozeman,Big Sky Conference,Overall,MT,83,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/440.pdf?v=1748710721067
2017,University of Montana,Big Sky Conference,Overall,MT,89,66,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/441.pdf?v=1748710721067
2017,Morehead State University,Ohio Valley Conference,Overall,KY,80,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/444.pdf?v=1748710721067
2017,Morgan State University,Mid-Eastern Athletic Conf.,Overall,MD,79,60,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/446.pdf?v=1748710721067
2017,Mount St. Mary's University,Metro Atlantic Athletic Conference,Overall,MD,94,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/450.pdf?v=1748710721067
2017,Murray State University,Missouri Valley Conference,Overall,KY,94,58,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/454.pdf?v=1748710721067
2017,University of North Carolina Asheville,Big South Conference,Overall,NC,93,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/456.pdf?v=1748710721067
2017,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Overall,NC,93,79,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/457.pdf?v=1748710721067
2017,The University of North Carolina at Charlotte,American Athletic Conference,Overall,NC,87,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/458.pdf?v=1748710721067
2017,The University of North Carolina at Greensboro,Southern Conference,Overall,NC,95,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/459.pdf?v=1748710721067
2017,University of North Carolina Wilmington,Coastal Athletic Association,Overall,NC,92,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/460.pdf?v=1748710721067
2017,University of Nebraska-Lincoln,Big Ten Conference,Overall,NE,93,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/463.pdf?v=1748710721067
2017,University of Nebraska at Omaha,The Summit League,Overall,NE,94,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/464.pdf?v=1748710721067
2017,"University of Nevada, Las Vegas",Mountain West Conference,Overall,NV,88,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/465.pdf?v=1748710721067
2017,"University of Nevada, Reno",Mountain West Conference,Overall,NV,89,62,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/466.pdf?v=1748710721067
2017,University of New Hampshire,America East Conference,Overall,NH,95,77,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/469.pdf?v=1748710721067
2017,New Jersey Institute of Technology,America East Conference,Overall,NJ,92,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/471.pdf?v=1748710721067
2017,New Mexico State University,Conference USA,Overall,NM,86,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/472.pdf?v=1748710721067
2017,University of New Mexico,Mountain West Conference,Overall,NM,86,53,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/473.pdf?v=1748710721067
2017,University of New Orleans,Southland Conference,Overall,LA,84,52,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/474.pdf?v=1748710721067
2017,Niagara University,Metro Atlantic Athletic Conference,Overall,NY,97,76,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/482.pdf?v=1748710721067
2017,Nicholls State University,Southland Conference,Overall,LA,83,60,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/483.pdf?v=1748710721067
2017,Norfolk State University,Mid-Eastern Athletic Conf.,Overall,VA,80,57,,,https://web3.ncaa.org/aprsearch/public_reports/inst2024/485.pdf?v=1748710721067
