School,Basketball Player #,GSR,GSR Percentage,Graduation Rate,School Checked,Overall Games,Overall Wins,Overall Losses,W-L%
University of Wisconsin-Green Bay,11,100-c,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wisconsin-Madison,16,100-b,1,16,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wisconsin-Milwaukee,15,100-c,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
University of Wyoming,14,100-b,1,14,#N/A,#N/A,#N/A,#N/A,#N/A
University of the Incarnate Word,15,100-c,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
University of the Pacific,15,100-c,1,15,#N/A,#N/A,#N/A,#N/A,#N/A
Utah State University,14,80-b,0.8,11,#N/A,#N/A,#N/A,#N/A,#N/A
Utah Valley University,14,91-c,0.91,13,Utah Valley,29,10,19,0.167
Valparaiso University,13,100-c,1,13,Valparaiso,30,5,25,0.563
Vanderbilt University,11,100-b,1,11,#N/A,#N/A,#N/A,#N/A,#N/A
Villanova University,13,100-c,1,13,Villanova,35,22,13,0.387
