School,GSR,GSR Percentage ,School_2,Overall G,Overall W,Overall L,Overall W-L%,Win Category
University of Tennessee at Chattanooga,91-c,0.91,Chattanooga,33,28,5,0.848,1.0
University of Tennessee at Martin,100-c,1.0,Tennessee-Martin,33,16,17,0.485,3.0
University of Tennessee Knoxville,100-b,1.0,Tennessee NCAA,33,20,13,0.606,2.0
University of Texas at Arlington,100-c,1.0,UT Arlington,33,17,16,0.515,3.0
University of Texas at Austin,85-c,0.85,Texas NCAA,38,33,5,0.868,1.0
University of Texas at El Paso,92-c,0.92,UTEP,31,12,19,0.387,4.0
University of Texas at San Antonio,92-c,0.92,UTSA,33,18,15,0.545,3.0
University of the Incarnate Word,92-c,0.92,Incarnate Word,30,19,11,0.633,2.0
University of the Pacific,93-c,0.93,Pacific,34,19,15,0.559,3.0
University of Toledo,100-d,1.0,Toledo,34,28,6,0.824,1.0
University of Vermont,100-b,1.0,Vermont NCAA,37,25,12,0.676,2.0
University of Virginia,100-c,1.0,Virginia NCAA,32,16,16,0.5,3.0
University of Washington,100-b,1.0,Washington,31,16,15,0.516,3.0
University of Wisconsin-Green Bay,100-c,1.0,Green Bay,34,27,7,0.794,2.0
University of Wisconsin-Madison,100-b,1.0,Wisconsin NCAA,32,15,17,0.469,3.0
University of Wisconsin-Milwaukee,100-c,1.0,Milwaukee,32,16,16,0.5,3.0
University of Wyoming,100-c,1.0,Wyoming,33,18,15,0.545,3.0
Utah State University,80-b,0.8,Utah State NCAA,30,5,25,0.167,5.0
Utah Valley University,91-c,0.91,Utah Valley,29,10,19,0.345,4.0
Valparaiso University,100-c,1.0,Valparaiso,30,5,25,0.167,5.0
Vanderbilt University,100-b,1.0,Vanderbilt,33,23,10,0.697,2.0
Villanova University,100-c,1.0,Villanova,35,22,13,0.629,2.0
Virginia Commonwealth University,92-c,0.92,Virginia Commonwealth,32,26,6,0.813,1.0
Virginia Polytechnic Institute and State University,92-c,0.92,Virginia Tech,33,25,8,0.758,2.0
Wagner College,100-b,1.0,Wagner NCAA,28,7,21,0.25,4.0
Wake Forest University,100-c,1.0,Wake Forest,32,7,25,0.219,4.0
Washington State University,93-c,0.93,Washington State NCAA,36,21,15,0.583,3.0
Weber State University,85-c,0.85,Weber State,33,8,25,0.242,4.0
West Virginia University,100-c,1.0,West Virginia,33,25,8,0.758,2.0
Western Carolina University,100-c,1.0,Western Carolina,30,6,24,0.2,4.0
Western Illinois University,89-b,0.89,Western Illinois,30,18,12,0.6,2.0
Western Kentucky University,92-c,0.92,Western Kentucky NCAA,32,15,17,0.469,3.0
Western Michigan University,93-c,0.93,Western Michigan,30,12,18,0.4,3.0
Wichita State University,92-c,0.92,Wichita State,32,10,22,0.313,4.0
William & Mary,100-c,1.0,William & Mary,29,15,14,0.517,3.0
Winthrop University,87-c,0.87,Winthrop,30,14,16,0.467,3.0
Wofford College,73-c,0.73,Wofford,30,17,13,0.567,3.0
Wright State University,100-c,1.0,Wright State,33,18,15,0.545,3.0
Xavier University,85-c,0.85,Xavier,28,1,27,0.036,5.0
Yale University,100-d,1.0,Yale NCAA,27,8,19,0.296,4.0
Youngstown State University,92-c,0.92,Youngstown State,32,14,18,0.438,3.0
