School,Metric,All Students 2013-14,All Students 2023-24,Student-Athletes 2013-14,Student-Athletes 2023-24
DePaul University,2007-08 Graduation Rate,,70%,,78%
DePaul University,2017-18 Graduation Rate,70%,,78%,
DePaul University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
DePaul University,Four-Class Average,70%,68%,73%,73%
Delaware State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Delaware State University,Student-Athlete Graduation Success Rate,,,81%,66%
Delaware State University,2007-08 Graduation Rate,,37%,,65%
Delaware State University,2017-18 Graduation Rate,39%,,52%,
Delaware State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Delaware State University,Four-Class Average,45%,36%,51%,54%
Drake University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Drake University,Student-Athlete Graduation Success Rate,,,93%,88%
Drake University,2007-08 Graduation Rate,,60%,,83%
Drake University,2017-18 Graduation Rate,79%,,80%,
Drake University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Drake University,Four-Class Average,78%,68%,77%,79%
Drexel University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Drexel University,Student-Athlete Graduation Success Rate,,,93%,93%
Drexel University,2007-08 Graduation Rate,,70%,,82%
Drexel University,2017-18 Graduation Rate,77%,,80%,
Drexel University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Drexel University,Four-Class Average,76%,68%,78%,80%
Duke University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Duke University,Student-Athlete Graduation Success Rate,,,97%,97%
Duke University,2007-08 Graduation Rate,,94%,,80%
Duke University,2017-18 Graduation Rate,96%,,82%,
Duke University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Duke University,Four-Class Average,96%,94%,86%,84%
Duquesne University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Duquesne University,Student-Athlete Graduation Success Rate,,,92%,88%
Duquesne University,2007-08 Graduation Rate,,76%,,78%
Duquesne University,2017-18 Graduation Rate,75%,,69%,
Duquesne University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Duquesne University,Four-Class Average,76%,74%,75%,78%
East Carolina University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
East Carolina University,Student-Athlete Graduation Success Rate,,,87%,79%
East Carolina University,2007-08 Graduation Rate,,57%,,66%
East Carolina University,2017-18 Graduation Rate,62%,,63%,
East Carolina University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
East Carolina University,Four-Class Average,65%,58%,63%,63%
East Tennessee State University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
East Tennessee State University,Student-Athlete Graduation Success Rate,,,84%,77%
East Tennessee State University,2007-08 Graduation Rate,,41%,,64%
East Tennessee State University,2017-18 Graduation Rate,50%,,61%,
East Tennessee State University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
East Tennessee State University,Four-Class Average,51%,41%,65%,55%
Eastern Illinois University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Eastern Illinois University,Student-Athlete Graduation Success Rate,,,87%,86%
Eastern Illinois University,2007-08 Graduation Rate,,60%,,63%
Eastern Illinois University,2017-18 Graduation Rate,45%,,62%,
Eastern Illinois University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Eastern Illinois University,Four-Class Average,50%,60%,61%,65%
Eastern Kentucky University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Eastern Kentucky University,Student-Athlete Graduation Success Rate,,,90%,79%
