Cohort Year,School,Conference,Sport,State,GSR,FGR,GSR Report,FGR Report,PDF_URL
2007,University of Memphis,American Athletic Conference,Overall,TN,84,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/404.pdf?v=1750871843630
2007,Mercer University,Atlantic Sun Conference,Overall,GA,88,64,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/406.pdf?v=1750871843630
2007,Miami University (Ohio),Mid-American Conference,Overall,OH,87,75,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/414.pdf?v=1750871843630
2007,University of Miami (Florida),Atlantic Coast Conference,Overall,FL,92,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/415.pdf?v=1750871843630
2007,Michigan State University,Big Ten Conference,Overall,MI,86,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/416.pdf?v=1750871843630
2007,University of Michigan,Big Ten Conference,Overall,MI,88,78,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/418.pdf?v=1750871843630
2007,Middle Tennessee State University,Conference USA,Overall,TN,87,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/419.pdf?v=1750871843630
2007,"University of Minnesota, Twin Cities",Big Ten Conference,Overall,MN,87,70,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/428.pdf?v=1750871843630
2007,Mississippi State University,Southeastern Conference,Overall,MS,84,59,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/430.pdf?v=1750871843630
2007,Mississippi Valley State University,Southwestern Athletic Conf.,Overall,MS,43,42,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/432.pdf?v=1750871843630
2007,University of Mississippi,Southeastern Conference,Overall,MS,79,54,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/433.pdf?v=1750871843630
2007,"University of Missouri, Columbia",Southeastern Conference,Overall,MO,85,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/434.pdf?v=1750871843630
2007,Monmouth University,Metro Atlantic Athletic Conference,Overall,NJ,91,69,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/439.pdf?v=1750871843630
2007,Montana State University-Bozeman,Big Sky Conference,Overall,MT,85,67,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/440.pdf?v=1750871843630
2007,University of Montana,Big Sky Conference,Overall,MT,78,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/441.pdf?v=1750871843630
2007,Morehead State University,Ohio Valley Conference,Overall,KY,69,60,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/444.pdf?v=1750871843630
2007,Morgan State University,Mid-Eastern Athletic Conf.,Overall,MD,63,54,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/446.pdf?v=1750871843630
2007,Mount St. Mary's University,Northeast Conference,Overall,MD,86,76,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/450.pdf?v=1750871843630
2007,Murray State University,Ohio Valley Conference,Overall,KY,82,60,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/454.pdf?v=1750871843630
2007,University of North Carolina Asheville,Big South Conference,Overall,NC,76,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/456.pdf?v=1750871843630
2007,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Overall,NC,86,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/457.pdf?v=1750871843630
2007,The University of North Carolina at Charlotte,Conference USA,Overall,NC,92,71,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/458.pdf?v=1750871843630
2007,The University of North Carolina at Greensboro,Southern Conference,Overall,NC,82,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/459.pdf?v=1750871843630
2007,University of North Carolina Wilmington,Coastal Athletic Association,Overall,NC,83,72,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/460.pdf?v=1750871843630
2007,University of Nebraska-Lincoln,Big Ten Conference,Overall,NE,83,63,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/463.pdf?v=1750871843630
2007,University of Nebraska at Omaha,The Summit League,Overall,NE,67,55,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/464.pdf?v=1750871843630
2007,"University of Nevada, Las Vegas",Mountain West Conference,Overall,NV,76,60,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/465.pdf?v=1750871843630
2007,"University of Nevada, Reno",Mountain West Conference,Overall,NV,80,68,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/466.pdf?v=1750871843630
2007,University of New Hampshire,America East Conference,Overall,NH,88,73,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/469.pdf?v=1750871843630
2007,New Jersey Institute of Technology,Independent,Overall,NJ,74,61,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/471.pdf?v=1750871843630
2007,New Mexico State University,Western Athletic Conference,Overall,NM,73,54,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/472.pdf?v=1750871843630
2007,University of New Mexico,Mountain West Conference,Overall,NM,76,57,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/473.pdf?v=1750871843630
2007,University of New Orleans,Southland Conference,Overall,LA,50,42,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/474.pdf?v=1750871843630
2007,Niagara University,Metro Atlantic Athletic Conference,Overall,NY,91,73,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/482.pdf?v=1750871843630
2007,Nicholls State University,Southland Conference,Overall,LA,74,45,,,https://web3.ncaa.org/aprsearch/public_reports/inst2014/483.pdf?v=1750871843630
