Race,val1_All,val2_All,val3_All,val4_All,val5_All,val6_All,val7_All,val8_All,val9_All,val10_All,val11_All,val12_All,Source_All,School_All,val1_SA,val2_SA,val3_SA,val4_SA,val5_SA,val6_SA,val7_SA,val8_SA,val9_SA,val10_SA,val11_SA,val12_SA,val13,val14,val15,val16,val17,val18,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Black,83,29,241,24,72,25,250,26,155,27,491,25,All Students,Eastern Kentucky University,10,60,34,53,44,61,5,60,22,41,18,72,15,60,56,48,62,65,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,11,18,29,28,12,50,33,48,23,35,62,39,All Students,Eastern Kentucky University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Eastern Kentucky University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,8,25,17,29,6,33,18,33,14,29,35,31,All Students,Eastern Kentucky University,***,***,7,57,17,94,***,***,6,50,19,89,***,***,13,54,36,92,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Eastern Kentucky University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,51,22,***,***,62,32,***,***,113,27,All Students,Eastern Kentucky University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,940,37,3712,36,1232,42,5188,40,2172,40,8900,38,All Students,Eastern Kentucky University,16,50,69,58,65,78,22,64,88,63,76,87,38,58,157,61,141,83,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1084,36,4116,35,1349,41,5606,39,2433,39,9722,37,All Students,Eastern Kentucky University,32,47,116,54,129,74,30,60,122,57,118,86,62,53,238,56,247,79,Student-Athletes,Eastern Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,4,50,17,18,7,29,26,38,11,36,43,30,All Students,Eastern Michigan University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,28,39,85,38,16,31,88,49,44,36,173,43,All Students,Eastern Michigan University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,230,19,886,19,406,26,1344,25,636,24,2230,22,All Students,Eastern Michigan University,14,36,63,33,64,45,7,86,19,53,18,72,21,52,82,38,82,51,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,32,31,110,32,38,37,137,39,70,34,247,36,All Students,Eastern Michigan University,0,-,***,***,3,67,3,100,***,***,4,100,3,100,***,***,7,86,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Eastern Michigan University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,12,75,53,57,7,43,53,57,19,63,106,57,All Students,Eastern Michigan University,***,***,10,60,20,70,***,***,25,68,27,85,***,***,35,66,47,79,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Eastern Michigan University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Eastern Michigan University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,638,41,2454,39,799,50,3498,48,1437,46,5952,44,All Students,Eastern Michigan University,40,60,112,63,101,79,19,84,81,78,71,94,59,68,193,69,172,85,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1020,35,3814,34,1345,41,5405,42,2365,38,9219,38,All Students,Eastern Michigan University,58,53,195,52,196,66,34,79,133,74,124,90,92,63,328,61,320,75,Student-Athletes,Eastern Michigan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,10,20,46,30,11,9,61,23,21,14,107,26,All Students,Eastern Washington University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,19,21,100,37,25,44,130,46,44,34,230,42,All Students,Eastern Washington University,3,33,8,50,8,50,0,-,0,-,0,-,3,33,8,50,8,50,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,40,13,135,21,30,30,107,34,70,20,242,26,All Students,Eastern Washington University,***,***,15,20,16,44,***,***,9,56,7,71,***,***,24,33,23,52,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,45,44,153,46,67,54,284,45,112,50,437,46,All Students,Eastern Washington University,0,-,0,-,***,***,0,-,3,67,***,***,0,-,3,67,***,***,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,6,17,7,14,4,0,10,20,10,10,17,18,All Students,Eastern Washington University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,5,20,16,25,10,30,24,33,15,27,40,30,All Students,Eastern Washington University,***,***,4,0,5,40,***,***,7,57,6,100,***,***,11,36,11,73,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,19,32,27,33,28,43,50,38,47,38,77,36,All Students,Eastern Washington University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,41,59,272,47,56,39,377,50,97,47,649,49,All Students,Eastern Washington University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,358,44,1493,45,539,52,2417,51,897,49,3910,49,All Students,Eastern Washington University,8,50,50,44,46,65,17,53,56,45,43,81,25,52,106,44,89,73,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,543,41,2249,43,770,49,3460,49,1313,45,5709,46,All Students,Eastern Washington University,15,33,77,38,77,57,21,57,75,48,59,83,36,47,152,43,136,68,Student-Athletes,Eastern Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,4,75,***,***,5,80,***,***,9,78,All Students,Elon University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,3,100,22,77,13,77,37,78,16,81,59,78,All Students,Elon University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,32,84,136,75,34,88,164,82,66,86,300,79,All Students,Elon University,***,***,48,75,47,83,***,***,11,73,10,90,***,***,59,75,57,84,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,13,69,41,76,22,68,68,78,35,69,109,77,All Students,Elon University,***,***,3,67,***,***,***,***,3,67,***,***,***,***,6,67,***,***,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Elon University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,9,78,34,79,21,62,57,81,30,67,91,80,All Students,Elon University,***,***,7,71,6,100,***,***,5,100,7,100,***,***,12,83,13,100,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Elon University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,33,82,***,***,39,82,***,***,72,82,***,***,All Students,Elon University,7,57,***,***,23,65,3,100,***,***,8,75,10,70,***,***,31,68,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,446,78,1676,82,609,85,2541,83,1055,82,4217,83,All Students,Elon University,25,76,96,75,91,92,28,79,87,87,83,98,53,77,183,81,174,95,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,540,79,2027,81,746,84,3009,83,1286,82,5036,82,All Students,Elon University,50,76,178,71,172,85,36,83,116,84,112,95,86,79,294,77,284,89,Student-Athletes,Elon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Fairfield University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,12,67,42,79,21,81,67,81,33,76,109,80,All Students,Fairfield University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,11,82,26,85,17,76,54,74,28,79,80,78,All Students,Fairfield University,3,100,9,67,7,100,3,33,9,78,8,88,6,67,18,72,15,93,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,28,71,90,73,46,74,138,77,74,73,228,75,All Students,Fairfield University,***,***,5,80,4,100,***,***,5,80,4,100,***,***,10,80,8,100,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Fairfield University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,16,75,***,***,4,50,***,***,20,70,All Students,Fairfield University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,***,***,3,100,***,***,3,100,***,***,All Students,Fairfield University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,32,75,128,77,47,74,184,83,79,75,312,81,All Students,Fairfield University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,260,85,1170,82,359,84,1589,84,619,84,2759,83,All Students,Fairfield University,21,76,61,74,64,92,30,73,117,81,115,98,51,75,178,79,179,96,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,346,83,1478,81,496,82,2056,83,842,82,3534,82,All Students,Fairfield University,28,82,86,74,84,94,36,72,136,81,132,98,64,77,222,78,216,96,Student-Athletes,Fairfield University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Fairleigh Dickinson University Metropolitan Campus,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,17,53,60,55,13,62,68,54,30,57,128,55,All Students,Fairleigh Dickinson University Metropolitan Campus,0,-,0,-,0,-,0,-,3,67,3,67,0,-,3,67,3,67,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,32,25,118,37,50,52,246,40,82,41,364,39,All Students,Fairleigh Dickinson University Metropolitan Campus,***,***,12,50,15,67,***,***,13,77,13,77,***,***,25,64,28,71,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,38,29,118,31,34,44,199,46,72,36,317,40,All Students,Fairleigh Dickinson University Metropolitan Campus,***,***,7,14,10,30,***,***,5,80,5,80,***,***,12,42,15,47,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Fairleigh Dickinson University Metropolitan Campus,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,22,5,115,50,24,67,83,71,46,37,198,59,All Students,Fairleigh Dickinson University Metropolitan Campus,5,0,16,38,20,65,6,83,12,83,15,93,11,45,28,57,35,77,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Fairleigh Dickinson University Metropolitan Campus,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Fairleigh Dickinson University Metropolitan Campus,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,62,53,249,42,69,61,302,54,131,57,551,48,All Students,Fairleigh Dickinson University Metropolitan Campus,11,73,43,49,39,59,20,70,66,59,60,70,31,71,109,55,99,66,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,190,35,734,41,210,57,978,51,400,47,1712,46,All Students,Fairleigh Dickinson University Metropolitan Campus,18,44,79,43,86,57,31,77,100,66,97,75,49,65,179,56,183,67,Student-Athletes,Fairleigh Dickinson University Metropolitan Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,3,67,***,***,7,43,***,***,10,50,All Students,Florida A&M University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,7,29,20,60,13,31,30,47,20,30,50,52,All Students,Florida A&M University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,741,36,2978,28,1021,46,4072,38,1762,42,7050,34,All Students,Florida A&M University,32,44,106,45,122,48,22,45,75,53,80,55,54,44,181,49,202,50,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,15,13,42,19,15,20,33,24,30,17,75,21,All Students,Florida A&M University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Florida A&M University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,11,64,***,***,26,58,***,***,37,59,All Students,Florida A&M University,***,***,***,***,4,50,***,***,***,***,6,33,***,***,***,***,10,40,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Florida A&M University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,6,0,***,***,0,-,***,***,6,0,***,***,All Students,Florida A&M University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,10,10,43,19,11,27,35,26,21,19,78,22,All Students,Florida A&M University,***,***,***,***,11,45,***,***,***,***,3,67,***,***,***,***,14,50,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,783,35,3107,28,1071,46,4217,38,1854,41,7324,34,All Students,Florida A&M University,34,44,117,44,138,47,26,42,84,51,92,54,60,43,201,47,230,50,Student-Athletes,Florida A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,3,33,9,33,3,100,12,25,6,67,21,29,All Students,Florida Atlantic University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,63,56,195,48,75,63,238,60,138,59,433,54,All Students,Florida Atlantic University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,153,39,514,36,238,39,783,42,391,39,1297,40,All Students,Florida Atlantic University,13,69,63,46,66,52,5,20,20,55,26,65,18,56,83,48,92,55,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,244,32,763,37,232,50,832,48,476,40,1595,42,All Students,Florida Atlantic University,0,-,10,40,9,56,0,-,5,100,6,83,0,-,15,60,15,67,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Florida Atlantic University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,22,59,76,45,22,59,87,61,44,59,163,53,All Students,Florida Atlantic University,***,***,6,67,11,45,***,***,8,50,12,83,***,***,14,57,23,65,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,9,56,19,42,5,60,20,65,14,57,39,54,All Students,Florida Atlantic University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,5,60,11,55,7,14,24,33,12,33,35,40,All Students,Florida Atlantic University,3,67,***,***,5,60,5,40,***,***,4,75,8,50,***,***,9,67,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,738,36,2651,36,744,43,2880,45,1482,39,5531,41,All Students,Florida Atlantic University,17,59,68,53,72,74,19,58,76,68,75,87,36,58,144,61,147,80,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1237,37,4238,37,1326,45,4876,46,2563,41,9114,42,All Students,Florida Atlantic University,35,66,153,50,165,61,32,50,117,65,125,82,67,58,270,56,290,70,Student-Athletes,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,3,0,8,25,4,50,14,50,7,29,22,41,All Students,Florida Gulf Coast University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,12,42,45,31,13,23,53,40,25,32,98,36,All Students,Florida Gulf Coast University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,24,29,63,33,42,40,118,43,66,36,181,40,All Students,Florida Gulf Coast University,***,***,***,***,7,86,***,***,***,***,4,100,***,***,***,***,11,91,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,71,35,220,36,98,48,344,46,169,43,564,42,All Students,Florida Gulf Coast University,3,33,***,***,10,70,0,-,***,***,4,75,3,33,***,***,14,71,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,3,33,***,***,8,75,***,***,11,64,All Students,Florida Gulf Coast University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,10,50,23,52,11,64,29,72,21,57,52,63,All Students,Florida Gulf Coast University,***,***,4,25,7,57,***,***,3,100,4,100,***,***,7,57,11,73,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,7,86,13,62,6,67,17,65,13,77,30,63,All Students,Florida Gulf Coast University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,32,3,***,***,30,20,***,***,62,11,All Students,Florida Gulf Coast University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,611,38,1825,40,747,50,2454,50,1358,45,4279,46,All Students,Florida Gulf Coast University,15,40,39,41,57,60,34,47,67,49,74,72,49,45,106,46,131,66,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,752,38,2232,39,935,49,3067,49,1687,44,5299,45,All Students,Florida Gulf Coast University,21,38,52,38,86,62,37,46,76,49,89,72,58,43,128,45,175,67,Student-Athletes,Florida Gulf Coast University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,6,0,***,***,11,18,***,***,17,12,All Students,Florida International University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,64,50,279,47,64,72,288,57,128,61,567,52,All Students,Florida International University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,139,42,689,30,162,55,939,42,301,49,1628,37,All Students,Florida International University,***,***,59,42,66,53,***,***,12,92,18,83,***,***,71,51,84,60,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,1031,47,4193,43,1161,60,5273,56,2192,54,9466,50,All Students,Florida International University,5,20,30,40,26,69,8,63,24,63,21,81,13,46,54,50,47,74,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Florida International University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,31,42,164,49,43,70,177,68,74,58,341,59,All Students,Florida International University,0,-,9,56,17,65,6,83,32,59,41,80,6,83,41,59,58,76,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,23,43,***,***,17,53,***,***,40,48,All Students,Florida International University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,8,75,***,***,4,25,***,***,12,58,***,***,All Students,Florida International University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,243,33,1090,34,269,49,1239,45,512,41,2329,40,All Students,Florida International University,10,40,43,33,43,60,6,67,35,46,31,74,16,50,78,38,74,66,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1523,44,6482,40,1707,58,7972,53,3230,52,14454,47,All Students,Florida International University,30,37,143,39,156,58,22,68,104,59,112,79,52,50,247,47,268,66,Student-Athletes,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,17,53,57,60,20,80,70,77,37,68,127,69,All Students,Florida State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Florida State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,111,73,380,70,114,85,404,81,225,79,784,75,All Students,Florida State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Florida State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,186,68,795,66,339,76,1606,77,525,74,2401,73,All Students,Florida State University,16,63,77,44,73,60,6,50,24,67,21,76,22,59,101,50,94,64,Student-Athletes,Florida State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,361,74,1265,69,439,78,1717,75,800,76,2982,73,All Students,Florida State University,***,***,6,50,5,80,***,***,4,75,3,100,***,***,10,60,8,88,Student-Athletes,Florida State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
