School,4-Class,GSR Rate,School,Overall G,Overall W,Overall L,Overall W-L%
Virginia Commonwealth University,100-c,1,Virginia Commonwealth,32,22,10,0.688
Virginia Polytechnic Institute and State University,91-c,0.91,Virginia Tech,30,14,16,0.467
Wagner College,80-c,0.8,Wagner,30,9,21,0.3
Wake Forest University,100-c,1,Wake Forest,31,15,16,0.484
Washington State University,67-c,0.67,Washington State,34,17,17,0.5
Weber State University,80-c,0.8,Weber State,29,7,22,0.241
West Virginia University,87-c,0.87,West Virginia NCAA,35,30,5,0.857
Western Carolina University,100-c,1,Western Carolina,32,15,17,0.469
Western Illinois University,93-c,0.93,Western Illinois,30,14,16,0.467
Western Kentucky University,75-c,0.75,Western Kentucky NCAA,33,24,9,0.727
Western Michigan University,88-d,0.88,Western Michigan,31,13,18,0.419
Wichita State University,93-c,0.93,Wichita State NCAA,33,26,7,0.788
William & Mary,100-c,1,William & Mary,29,8,21,0.276
Winthrop University,81-d,0.81,Winthrop NCAA,33,24,9,0.727
Wofford College,100-c,1,Wofford,29,6,23,0.207
Wright State University,79-c,0.79,Wright State NCAA,35,26,9,0.743
Xavier University,80-c,0.8,Xavier,31,8,23,0.258
Yale University,100-d,1,Yale,28,13,15,0.464
Youngstown State University,82-d,0.82,Youngstown State,31,15,16,0.484
