School,Metric,All Students,Student-Athletes
Lipscomb University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Lipscomb University,2007-08 Graduation Rate,64%,72%
Lipscomb University,Four-Class Average,60%,63%
Lipscomb University,Student-Athlete Graduation Success Rate,,84%
Long Beach State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Long Beach State University,2007-08 Graduation Rate,60%,60%
Long Beach State University,Four-Class Average,56%,60%
Long Beach State University,Student-Athlete Graduation Success Rate,,80%
Long Island University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Long Island University,2007-08 Graduation Rate,24%,52%
Long Island University,Four-Class Average,24%,67%
Long Island University,Student-Athlete Graduation Success Rate,,84%
Longwood University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Longwood University,2007-08 Graduation Rate,63%,73%
Longwood University,Four-Class Average,61%,68%
Longwood University,Student-Athlete Graduation Success Rate,,84%
Louisiana State University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Louisiana State University,2007-08 Graduation Rate,67%,64%
Louisiana State University,Four-Class Average,62%,60%
Louisiana State University,Student-Athlete Graduation Success Rate,,81%
Louisiana Tech University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Louisiana Tech University,2007-08 Graduation Rate,50%,60%
Louisiana Tech University,Four-Class Average,49%,60%
Louisiana Tech University,Student-Athlete Graduation Success Rate,,81%
Loyola Marymount University,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Loyola Marymount University,2007-08 Graduation Rate,76%,66%
Loyola Marymount University,Four-Class Average,77%,71%
Loyola Marymount University,Student-Athlete Graduation Success Rate,,91%
Loyola University Chicago,FRESHMAN-COHORT GRADUATION RATES All,Students Studen,t-Ath
Loyola University Chicago,2007-08 Graduation Rate,71%,78%
Loyola University Chicago,Four-Class Average,70%,81%
Loyola University Chicago,Student-Athlete Graduation Success Rate,,96%
