School,Basketball Players,Graduation ,GSR Rate,School2,Overall G,Overall W,Overall L,Overall W-L%
Indiana State University,15,83-c,0.83,Indiana,34,21,13,0.581
Indiana University Bloomington,14,90-b,0.9,#N/A,#N/A,#N/A,#N/A,#N/A
Indiana University Indianapolis,15,67-c,0.67,#N/A,#N/A,#N/A,#N/A,#N/A
Iona University,13,100-c,1,Iona,32,26,6,0.676
Iowa State University,15,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Jackson State University,14,75-d,0.75,#N/A,#N/A,#N/A,#N/A,#N/A
Jacksonville State University,13,83-c,0.83,Jacksonville,30,13,17,0.323
Jacksonville University,14,100-c,1,Jacksonville,30,13,17,0.323
James Madison University,13,83-c,0.83,#N/A,#N/A,#N/A,#N/A,#N/A
Kansas State University,14,100-c,1,Kansas,32,13,19,0.853
Kennesaw State University,15,86-c,0.86,#N/A,#N/A,#N/A,#N/A,#N/A
Kent State University,15,80-c,0.8,#N/A,#N/A,#N/A,#N/A,#N/A
La Salle University,10,100-c,1,La Salle,30,15,15,0.688
Lafayette College,15,100-c,1,Lafayette,30,14,16,0.848
Lamar University,13,83-d,0.83,Lamar,31,18,13,0.419
Lehigh University,12,94-d,0.94,Lehigh,31,13,18,0.733
Liberty University,14,86-c,0.86,Liberty,31,20,11,0.548
Lipscomb University,15,100-b,1,Lipscomb,30,6,24,0.667
Long Beach State University,0,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
Long Island University,15,92-c,0.92,#N/A,#N/A,#N/A,#N/A,#N/A
Longwood University,14,86-c,0.86,Longwood,30,8,22,0.194
Louisiana State University,13,92-c,0.92,Louisiana,30,14,16,0.414
Louisiana Tech University,12,100-c,1,Louisiana Tech,32,12,20,0.355
Loyola Marymount University,13,88-d,0.88,Loyola Marymount,30,9,21,0.735
Loyola University Chicago,15,87-c,0.87,#N/A,#N/A,#N/A,#N/A,#N/A
Loyola University Maryland,10,100-c,1,#N/A,#N/A,#N/A,#N/A,#N/A
Manhattan University,0,100-c,1,Manhattan,30,9,21,0.333
Marist University,16,91-c,0.91,#N/A,#N/A,#N/A,#N/A,#N/A
Marquette University,10,93-c,0.93,Marquette,33,22,11,0.296
Marshall University,15,64-c,0.64,Marshall,31,11,20,0.618
McNeese State University,13,61-d,0.61,#N/A,#N/A,#N/A,#N/A,#N/A
Mercer University,10,93-c,0.93,Mercer,31,17,14,0.813
Miami University (Ohio),14,69-c,0.69,#N/A,#N/A,#N/A,#N/A,#N/A
Michigan State University,14,91-c,0.91,Michigan,34,20,14,0.645
