School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,
University of Notre Dame,100-b,1,Notre Dame,33,13,20,0.394,
University of Oklahoma,86-c,0.86,Oklahoma,32,20,12,0.625,
University of Oregon,50-c,0.5,Oregon NCAA,36,24,12,0.667,
University of Pennsylvania,100-e,1,Pennsylvania,29,11,18,0.379,
University of Pittsburgh,88-b,0.88,Pittsburgh,33,22,11,0.667,
University of Portland,82-c,0.82,Portland,33,12,21,0.364,
University of Rhode Island,92-c,0.92,Rhode Island,32,12,20,0.375,
University of Richmond,100-b,1,Richmond,33,23,10,0.697,
University of San Diego,100-c,1,San Diego,33,18,15,0.545,
University of San Francisco,100-c,1,San Francisco,34,23,11,0.676,
University of South Alabama,79-c,0.79,South Alabama,32,16,16,0.5,
University of South Carolina Columbia,75-b,0.75,South Carolina NCAA,34,26,8,0.765,
University of South Carolina Upstate,100-b,1,South Carolina Upstate,30,10,20,0.333,
University of South Dakota,100-b,1,South Dakota,32,12,20,0.375,
University of South Florida,92-c,0.92,South Florida,33,25,8,0.758,
University of Southern California,90-b,0.9,Southern California,33,15,18,0.455,
University of Tennessee at Chattanooga,77-c,0.77,Chattanooga,33,21,12,0.636,
University of Tennessee at Martin,91-c,0.91,Tennessee-Martin,32,21,11,0.656,
University of Tennessee Knoxville,100-b,1,Tennessee NCAA,36,27,9,0.75,
University of Texas at Arlington,100-c,1,UT Arlington,34,20,14,0.588,
University of Texas at Austin,64-c,0.64,Texas NCAA,34,21,13,0.618,
University of Texas at El Paso,80-b,0.8,UTEP,34,18,16,0.529,
University of Texas at San Antonio,81-d,0.81,UTSA,32,11,21,0.344,
University of the Incarnate Word,58-c,0.58,Incarnate Word,31,8,23,0.258,
University of the Pacific,69-d,0.69,Pacific,32,6,26,0.188,
University of Toledo,100-b,1,Toledo,32,20,12,0.625,
University of Utah,67-a,0.67,Vermont NCAA,35,28,7,0.8,
University of Vermont,100-c,1,Vermont NCAA,35,28,7,0.8,
University of Virginia,80-b,0.8,Virginia NCAA,34,23,11,0.676,
University of Washington,100-b,1,Washington,32,17,15,0.531,
University of Wisconsin-Green Bay,100-c,1,Green Bay,32,18,14,0.563,
University of Wisconsin-Madison,82-c,0.82,Wisconsin NCAA,36,22,14,0.611,
University of Wisconsin-Milwaukee,83-c,0.83,Milwaukee,35,20,15,0.571,
University of Wyoming,82-c,0.82,Wyoming,32,15,17,0.469,
Utah State University,73-c,0.73,Utah State NCAA,35,28,7,0.8,
Utah Valley University,92-c,0.92,Utah Valley,32,16,16,0.5,
Valparaiso University,86-c,0.86,Valparaiso,32,7,25,0.219,
Vanderbilt University,100-c,1,Vanderbilt,32,9,23,0.281,
